id,alias,name_JP,name,altname_JP,altname,aliasParent,aliasRef,aliasMtp,parentFactor,lvFactor,encFactor,encSlot,mtp,LV,chance,value,cost,geneSlot,sort,target,proc,type,group,category,categorySub,abilityType,tag,thing,eleP,cooldown,charge,radius,max,req,idTrainer,partySkill,tagTrainer,levelBonus_JP,levelBonus,foodEffect,***,langAct,detail_JP,detail,textPhase_JP,textPhase,textExtra_JP,textExtra,textInc_JP,textInc,textDec_JP,textDec,textAlt_JP,textAlt,adjective_JP,adjective
15,water,水分,Water,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,ELEMENT,,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
16,heat,熱,Fire,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,ELEMENT,,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
17,decay,腐敗,Decay,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,ELEMENT,,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
18,taste,味,Taste,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,ELEMENT,,,,hidden,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
20,poison,毒,Poison,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,ELEMENT,,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
21,fire,火炎,Fire,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,ELEMENT,,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
22,cut,鋭利,Cold,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,ELEMENT,,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
23,old_detox,解毒,Antidote,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,ELEMENT,,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
24,old_heal,治癒,Healing,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,ELEMENT,,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
25,old_antidote,解毒,Antidote,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,ELEMENT,,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
26,cure,キュア,Cure,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,ELEMENT,,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
29,race,種族の特徴,Racial Traits,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,RaceBonus,ELEMENT,,,,,,50,0,10,5,0,,,0,,,,,,,イルヴァの種族が代々受け継いできた種族的な性質。,"The inherent traits that the races in Ylva have passed down through generations. ",,,,,,,,,,,,
30,head,頭,Head,,,,,,0,0,100,,1,1,1000,0,0,1,110,,,Element,SLOT,slot,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
31,neck,首,Neck,,,,,,0,0,100,,1,1,1000,0,0,1,200,,,Element,SLOT,slot,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
32,torso,胴体,Torso,,,,,,0,0,100,,1,1,1000,0,0,1,120,,,Element,SLOT,slot,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
33,back,背中,Back,,,,,,0,0,100,,1,1,1000,0,0,1,130,,,Element,SLOT,slot,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
34,arm,腕,Arm,,,,,,0,0,100,,1,1,1000,0,0,1,145,,,Element,SLOT,slot,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
35,hand,手,Hand,,,,,,0,0,100,,1,1,1000,0,0,1,100,,,Element,SLOT,slot,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
36,finger,指,Finger,,,,,,0,0,100,,1,1,1000,0,0,1,210,,,Element,SLOT,slot,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
37,waist,腰,Waist,,,,,,0,0,100,,1,1,1000,0,0,1,140,,,Element,SLOT,slot,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
38,leg,脚,Leg,,,,,,0,0,100,,1,1,1000,0,0,1,150,,,Element,SLOT,slot,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
39,foot,足,Feet,,,,,,0,0,100,,1,1,1000,0,0,1,160,,,Element,SLOT,slot,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
40,tool,道具,Tool,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,SLOT,slot,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
41,range,射撃,Ranged,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,SLOT,slot,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
42,ammo,矢弾,Ammo,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,SLOT,slot,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
43,token,トークン,Token,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,SLOT,slot,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
44,toolbelt,ツールベルト,Toolbelt,,,,,,0,0,100,,1,1,1000,0,0,1,0,,,Element,SLOT,slot,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
45,lightsource,光源,Light Source,,,,,,0,0,100,,1,1,1000,0,0,1,190,,,Element,SLOT,slot,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,,,,,,,,
50,fireproof,耐熱,Fireproof,,,,,,0,0,100,,1,1,1000,0,0,1,2000,,,Skill,SKILL,,,,flag,,50,0,10,5,0,,,0,,,,,,,,,それは燃えない。,It is fireproof.,,,,,,,,,,
51,acidproof,耐酸,Acidproof,,,,,,0,0,100,,1,1,1000,0,0,1,2001,,,Skill,SKILL,,,,flag,,50,0,10,5,0,,,0,,,,,,,,,それは酸で傷つかない。,It is acidproof.,,,,,,,,,,
55,PDR,物理軽減,Physical Damage Reduction,,,,,,0,0,0,,1,1,0,0,0,1,4,,,Skill,SKILL,attribute,,,ratio,,50,0,0,5,0,,,0,,,,,,,物理ダメージを軽減する能力。,Ability to reduce physical damages.,,,,,,,,,,,,
56,EDR,属性軽減,Elemental Damage Reduction,,,,,,0,0,0,,1,1,0,0,0,1,4,,,Skill,SKILL,attribute,,,ratio,,50,0,0,5,0,,,0,,,,,,,属性ダメージを軽減する能力。,Ability to reduce elemental damages.,,,,,,,,,,,,
57,evasionPerfect,完全回避,Perfect Evasion,,,,,,0,0,0,,1,1,0,0,0,1,4,,,Skill,SKILL,attribute,,,ratio,,50,0,0,5,0,,,0,,,,,,,物理攻撃を完全に回避する能力。,Ability to completely evade physical attacks.,,,,,,,,,,,,
60,life,生命力,Life,,,,,r_life,0,0,0,,1,1,0,0,0,1,1,,,AttbSpecial,SKILL,attribute,,,,,50,0,0,5,0,,,0,,,,,,,生命力の強さ。,Abundance of life force.,,,,,#1は生命力の上昇を感じた。,#your life force increases.,#1は生命力の衰えを感じた。,#your life force decreases.,,,,
61,mana,マナ,Mana,,,,,r_mana,0,0,0,,1,1,0,0,0,1,2,,,AttbSpecial,SKILL,attribute,,,,,50,0,0,5,0,,,0,,,,,,,マナの豊かさ。,Abundance of mana.,,,,,#1はマナの向上を感じた。,#your mana increases.,#1はマナの衰えを感じた。,#your mana decreases.,,,,
62,vigor,活力,Vigor,,,,,,0,0,0,,1,1,0,0,0,1,3,,,AttbSpecial,SKILL,attribute,,,,,50,0,0,5,0,,,0,,,,,,,スタミナや持久力。,Abundance of stamina.,,,,,#1は活力に満ち溢れた。,#your vigor increases.,#1は活力の衰えを感じた。,#your vigor decreases.,,,,
64,DV,DV,DV,,,,,r_DV,0,0,50,,1,1,1000,0,0,1,4,,,Skill,SKILL,attribute,,,,,50,0,10,5,0,,,0,,,,,,,物理的な攻撃を回避する能力。,Ability to dodge physical attacks.,,,,,,,,,,,,
65,PV,PV,PV,,,,,r_PV,0,0,50,,1,1,1000,0,0,1,5,,,Skill,SKILL,attribute,,,,,50,0,10,5,0,,,0,,,,,,,物理的なダメージを軽減する能力。,Ability to protect you from physical damage.,,,,,,,,,,,,
66,HIT,命中修正,Hit Modifier,,,,,,0,0,30,,2,1,500,20,0,1,6,,,AttbWeapon,SKILL,attribute,,,"modRanged,modCane,modMelee",,50,0,10,5,0,,,0,,,,,,,物理的な攻撃の命中率を増加させる能力。,Ability to increase the accuracy of physical attacks.,,,,,,,,,,,,
67,DMG,ダメージ修正,Damage Modifier,,,,,,0,0,30,,3,1,500,20,0,1,7,,,AttbWeapon,SKILL,attribute,,,"modRanged,modCane,modMelee",,50,0,10,5,0,,,0,,,,,,,物理的な攻撃のダメージを増加させる能力。,Ability to increase the damage of physical attacks.,,,,,,,,,,,,
68,FPV,致命傷防御,Fatal PV,,,,,,0,0,30,,1,1,0,150,0,1,7,,,Skill,SKILL,attribute,,,,,50,0,10,5,0,,,0,,,,,,,致命的なダメージを軽減する能力。,Ability to mitigate fatal damage.,,,,,,,,,,,,
70,STR,筋力,Strength,,,,,,0,50,80,all,2,1,1000,30,0,1,10,,,AttbMain,SKILL,attribute,,,primary,,50,0,10,5,0,,,0,,,,exp,,,身体的な力の強さ。,Physical power of a body.,,,筋力,STR,#1はより強くなった。,#your muscles feel stronger.,#1は少し贅肉が増えたような気がした。,#your muscles soften.,"脂味,パサパサ,しっとり,てかてか,脂たっぷり,ジューシー,じゅわっと溢れる脂","Fat,Dry,Slightly Moist,Moist,Fatty,Juicy,Bursting with Juice",,
71,END,耐久,Endurance,,,,,,0,50,80,all,2,1,1000,30,0,1,11,,,AttbMain,SKILL,attribute,,,primary,,50,0,10,5,0,,,0,,,,exp,,,しぶとさや打たれ強さ。,Toughness and fortitude.,,,耐久,END,#1は我慢することの快感を知った。,#1 begin/begins to feel good when being hit hard.,#1は我慢ができなくなった。,#1 lose/loses patience.,"大きさ,妖精サイズ,プチサイズ,かぼちゃサイズ,お化けサイズ,マンモスサイズ,巨人サイズ","Size,Fairy-sized,Putit-sized,Pumpkin-sized,Monster-sized,Mammoth-sized,Titan-sized",,
72,DEX,器用,Dexterity,,,,,,0,50,80,all,2,1,1000,30,0,1,12,,,AttbMain,SKILL,attribute,,,primary,,50,0,10,5,0,,,0,,,,exp,,,手先や体を思うように動かす能力。,The ability to move your body as desired.,,,器用,DEX,#1は器用になった。,#1 become/becomes dexterous.,#1は不器用になった。,#1 become/becomes clumsy.,"活きのよさ,死んでいる,動きそう,動く,活きがいい,ピチピチ,生きている","Freshness,Dead,Almost Moving,Moving,Lively,Very Lively,Alive",,
73,PER,感覚,Perception,,,,,,0,50,80,all,2,1,1000,30,0,1,13,,,AttbMain,SKILL,attribute,,,primary,,50,0,10,5,0,,,0,,,,exp,,,五感の鋭さや感受性の強さ。,Acuteness of the five senses.,,,感覚,PER,#1は世界をより身近に感じるようになった。,#1 feel/feels more in touch with the world.,#1は感覚のずれを感じた。,#1 are/is getting out of touch with the world.,"匂い,くさい,ほのかな香り,いい匂い,かぐわしい,香り高い,天上の香り","Scent,Stinky,Faint Aroma,Pleasant Smell,Fragrant,Highly Fragrant,Heavenly Scent",,
74,LER,学習,Learning,,,,,,0,50,80,all,2,1,1000,30,0,1,14,,,AttbMain,SKILL,attribute,,,primary,,50,0,10,5,0,,,0,,,,exp,,,学習能力や意欲。,The ability and desire to learn.,,,学習,LER,#1は急に色々なことを学びたくなった。,#1 feel/feels studious.,#1の学習意欲は低下した。,#1 lose/loses curiosity.,"珍しさ,つまらない,少し珍しい,珍しい,レア,スーパーレア,ウルトラレア","Rarity,Boring,Slightly Unusual,Unusual,Rare,Super Rare,Ultra Rare",,
75,WIL,意志,Will,,,,,,0,50,80,all,2,1,1000,30,0,1,15,,,AttbMain,SKILL,attribute,,,primary,,50,0,10,5,0,,,0,,,,exp,,,精神の強さ。,Strength of spirit.,,,意志,WIL,#1の意志は固くなった。,#your will hardens.,#1は何でもすぐ諦める。,#your will softens.,"コシの強さ,コシがない,少しコシがある,粘り強い,もちもち,伸びる,どこまでも伸びる","Stickiness,Lacks Firmness,Slightly Firm,Resilient,Chewy,Stretchy,Infinitely Stretchy",,
76,MAG,魔力,Magic,,,,,,0,50,80,all,2,1,1000,30,0,1,16,,,AttbMain,SKILL,attribute,,,primary,,50,0,10,5,0,,,0,,,,exp,,,魔法や霊的な能力。,Magical and spiritual power.,,,魔力,MAG,#1は魔力の上昇を感じた。,#your magic improves.,#1は魔力の衰えを感じた。,#your magic degrades.,"甘さ,苦い,ほんのり甘い,甘い,はっきり甘い,激甘,砂糖爆弾","Sweetness,Bitter,Slightly Sweet,Sweet,Clearly Sweet,Extremely Sweet,Sugar Bomb",,
77,CHA,魅力,Charisma,,,,,,0,50,80,all,2,1,1000,30,0,1,17,,,AttbMain,SKILL,attribute,,,primary,,50,0,10,5,0,,,0,,,,exp,,,人の心をひきつける能力。,Ability to attract people.,,,魅力,CHA,#1は周囲の視線を心地よく感じる。,#1 enjoy/enjoys showing off #his body.,#1は急に人前に出るのが嫌になった。,#1 start/starts to avoid eyes of people.,"見た目,不格好,少し気になる,気になる,綺麗,かわいい,きもかわいい","Appearance,Ugly,Concerning,Eye-Catching,Beautiful,Cute,Creepy Cute",,
78,LUC,運,Luck,,,,,,0,0,0,all,5,1,0,50,0,1,18,,,AttbMain,SKILL,attribute,,,,,50,0,0,5,0,,,0,,,,,,,運の強さ。,Strength of luck.,,,,,#1は幸運になった。,#1 become/becomes lucky.,#1は不幸になった。,#1 become/becomes unlucky.,,,,
79,SPD,速度,Speed,,,,,,0,0,2,all,1,1,0,200,0,1,19,,,AttbMain,SKILL,attribute,,,noRune,,50,0,0,5,0,,,0,,,,,,,動きの速さ。,Speed of movement.,,,,,#1は周りの動きが遅く見えるようになった。,#your speed increases.,#1は遅くなった。,#your speed decreases.,,,,
80,INT,知力,Intelligence,,,,,,0,0,0,,1,1,0,30,0,1,20,,,AttbMain,SKILL,attribute,,,,,50,0,10,5,0,,,0,,,,,,,,,,,,,#1の頭の回転は速くなった。,#your intelligence increases.,#1は愚かになった。,#1 become/becomes dumb.,,,,
85,piety,信仰心,Piety,,,WIL,,,0,0,0,,1,1,0,30,0,1,0,,,Piety,ELEMENT,attribute,,,,,50,0,0,5,0,,,0,,,,,,,信仰心の深さ。,Depth of belief in faith.,,,,,,,,,,,,
90,critical,クリティカル,Critical,,,,,,0,0,50,weapon,1,20,100,100,0,1,0,,,Skill,SKILL,enchant,,,"ratio,weaponEnc,modRanged,modCane,modMelee",,50,0,10,5,0,,,0,,,,,,,,,それはクリティカルヒットの機会を増やす。,It increases your chance to deliver critical hits.,,,,,,,,,,
91,vopal,ヴォーパル,Vorpal,,,,,,0,0,50,weapon,1,20,50,100,0,1,0,,,Skill,SKILL,enchant,,,"ratio,weaponEnc,modRanged,modCane,modMelee",,50,0,10,5,0,,,0,,,,,,,,,それは完全貫通攻撃発動の機会を増やす。,It gives you a chance to throw an absolute piercing attack.,,,,,,,,,,
92,penetration,貫通,Penetration,,,,,,0,0,25,all,1,1,0,100,0,1,0,,,Skill,SKILL,attribute,,,ratio,,50,0,10,5,0,,,0,,,,,,,,,それは攻撃を貫通させる。,It makes your attacks penetrate armors.,,,,,,,,,,
93,antiMagic,反魔法,Anti Magic,,,,,,0,0,25,all,1,20,200,100,0,1,0,,,Skill,SKILL,attribute,,,"ratio,modMelee",,50,0,10,5,0,,,0,,,,,,,,,それは反魔法粒子を帯びている。,It is imbued with anti-magic particles.,,,,,,,,,,
94,dmgDealt,全ダメージ,All Damage,,,,,,0,0,0,,1,1,0,300,0,1,0,,,Skill,SKILL,attribute,,,ratio,,50,0,10,5,0,,,0,,,,,,,,,それは与えるダメージを上昇させる。,It increases the damage dealt.,,,,,,,,,,
100,martial,格闘,Martial Art,,,STR,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,weapon,,,,50,0,10,5,0,,combat,0,,,,,,,格闘の技術。,Indicates your skill while fighting unarmed.,,,,,,,,,,,,
101,weaponSword,長剣,Long Sword,,,STR,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,weapon,,,,50,0,10,5,0,,,0,,,,,,,刃渡りの長い剣を扱う技術。,Indicates your skill with long swords.,,,,,,,,,,,,
102,weaponAxe,斧,Axe,,,STR,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,weapon,,,,50,0,10,5,0,,,0,,,,,,,斧を扱う技術。,Indicates your skill with axes.,,,,,,,,,,,,
103,weaponStaff,杖,Staff,,,END,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,weapon,,,,50,0,10,5,0,,,0,,,,,,,杖を扱う技術。,Indicates your skill with staves.,,,,,,,,,,,,
104,weaponBow,弓,Bow,,,DEX,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,weapon,,ranged,,50,0,10,5,0,,,0,,,,,,,弓を扱う技術。,Indicates your skill with bows.,,,,,,,,,,,,
105,weaponGun,銃,Gun,,,PER,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,weapon,,"ranged,guild,thief",,50,0,10,5,0,,,0,,,,,,,銃器を扱う技術。,Indicates your skill with firearms.,,,,,,,,,,,,
106,weaponPolearm,槍,Polearm,,,END,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,weapon,,,,50,0,10,5,0,,,0,,,,,,,槍を扱う技術。,Indicates your skill with polearms.,,,,,,,,,,,,
107,weaponDagger,短剣,Short Sword,,,DEX,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,weapon,,,,50,0,10,5,0,,,0,,,,,,,刃渡りの短い剣を扱う技術。,Indicates your skill with short swords.,,,,,,,,,,,,
108,throwing,投擲,Throwing,,,DEX,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,combat,,,,50,0,10,5,0,,,0,,,,,,,投擲道具を扱う技術。,Indicates your skill with throwing objects.,,,,,,,,,,,,
109,weaponCrossbow,クロスボウ,Crossbow,,,PER,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,weapon,,ranged,,50,0,10,5,0,,,0,,,,,,,クロスボウを扱う技術。,Indicates your skill with crossbows.,,,,,,,,,,,,
110,weaponScythe,鎌,Scythe,,,STR,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,weapon,,,,50,0,10,5,0,,,0,,,,,,,鎌を扱う技術。,Indicates your skill with scythes.,,,,,,,,,,,,
111,weaponBlunt,鈍器,Mace,,,END,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,weapon,,,,50,0,10,5,0,,,0,,,,,,,鈍器を扱う技術。,Indicates your skill with blunt weapons.,,,,,,,,,,,,
120,armorLight,軽装備,Light Armor,,,DEX,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,combat,,,,50,0,10,5,0,,,0,,,,,,,軽い装備を扱う技術。,Skill to effectively act while wearing light armor.,,,,,,,,,,,,
122,armorHeavy,重装備,Heavy Armor,,,END,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,combat,,,,50,0,10,5,0,,,0,,,,,,,重い装備を扱う技術。,Skill to effectively act while wearing heavy armor.,,,,,,,,,,,,
123,shield,盾,Shield,,,END,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,combat,,,,50,0,10,5,0,,,0,,"5,盾スタイル時に物理軽減 +10%
10,シールドバッシュ(自動)","5,10% Reduced physical damage when using shield style
10,Shield Bash (Passive)",,,,盾を扱う技術。,Increases the effectivness of using shields.,,,,,,,,,,,,
130,twohand,両手持ち,Two Handed,,,STR,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,combat,,,,50,0,10,5,0,,,0,,"15,武器エンチャントの効果 +25%
30,武器エンチャントの効果 +50%","15,Weapon enchantment effect +25%
30,Weapon enchantment effect +50%",,,,両手で武器を扱う技術。,Used when wielding a weapon with both hands.,,,,,,,,,,,,
131,twowield,二刀流,Dual Wield,,,DEX,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,combat,,"guild,fighter",,50,0,10,5,0,,,0,,"25,命中ペナルティ減少
50,命中ペナルティ減少","25,Reduced accuracy penalty
50,Reduced accuracy penalty",,,,複数の武器を扱う技術。,Used when wielding two weapons at the same time.,,,,,,,,,,,,
132,tactics,戦術,Tactics,,,PER,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,combat,,"guild,fighter",,50,0,10,5,0,,,0,,,"5,ActRush",,,,近接攻撃の威力をあげる。,Increases melee damage.,それは戦術の理解を深める。,It makes you a better tactician.,,,,,,,,,,
133,marksman,射撃,Marksman,,,PER,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,combat,,"guild,thief",,50,0,10,5,0,,,0,,,,,,,射撃の威力をあげる。,Increases shooting damage.,それは射撃の理解を深める。,It makes you a better marksman.,,,,,,,,,,
134,eyeofmind,心眼,Eye of Mind,,,PER,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,combat,,"guild,fighter",,50,0,10,5,0,,,0,,,,,,,クリティカル率を高める。,Increases your chance to deliver critical hits.,それは敵の弱点の発見を容易にする。,It makes it easier to spot weaknesses.,,,,,,,,,,
135,strategy,戦略,Strategy,,,LER,,,0,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,combat,,noPet,,50,0,10,5,0,,,0,,,,,,,作戦の成功率をあげる。,Enhances the effectiveness of your strategy.,それは戦略の理解を深める。,It makes you a better strategist.,,,,,,,,,,
150,evasion,回避,Evasion,,,PER,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,combat,,,,50,0,10,5,0,,,0,,,,,,,攻撃を回避する。,Increases your chance of evading enemy attacks.,それは回避を容易にする。,It makes it easier to evade.,,,,,,,,,,
151,evasionPlus,見切り,Greater Evasion,,,PER,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,combat,,"guild,thief",,50,0,10,5,0,,,0,,,,,,,不正確な攻撃を確実に避ける。,Makes you able to evade inaccurate attacks.,それは見切りの腕をあげる。,It makes it easier to anticipate attacks.,,,,,,,,,,
152,stealth,隠密,Stealth,,,PER,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,general,,,,50,0,10,5,0,,,0,,,,,,,周囲に気づかれず行動する。,Allows you to move quietly.,それは隠密能力を強化する。,It strengthens your ability to hide.,,,,,,,,,,
200,swimming,水泳,Swimming,,,END,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,general,,,,50,0,10,5,0,,,0,,,,,,,水中での移動を容易にする。,Allows you to move easier in water.,それは水中での移動を容易にする。,It makes you a better swimmer.,,,,,,,,,,
207,weightlifting,重量上げ,Weightlifting,,,STR,,,10,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,general,,,,50,0,10,5,0,,,0,,,,,,,重い荷物を持ち運ぶことを可能にする。,Allows you to carry more stuff.,それはより重い物の運搬を可能にする。,It makes you better at weight lifting.,,,,,,,,,,
210,spotting,探索,Spot Hidden,,,PER,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,stealth,,,,50,0,10,5,0,,,1,,,,,,,隠された場所や罠を見つける。,Allows you to search hidden locations and traps.,それは探知能力を強化する,It strengthens your ability to detect objects.,,,,,,,,,,
220,mining,採掘,Mining,,,STR,,,20,100,50,all,1,1,20,20,0,1,0,,,Skill,SKILL,skill,labor,,noPet,,50,0,10,5,0,,,1,,,,,,,壁を掘る効率をあげる。,Shows how good of a miner you are.,それは採掘能力を強化する。,It enhances your mining skill.,,,,,,,,,,
225,lumberjack,木こり,Lumberjacking,,,END,,,20,100,50,all,1,1,20,20,0,1,0,,,Skill,SKILL,skill,labor,,noPet,,50,0,10,5,0,,,1,,,,,,,木を伐採する効率を上げる。,Shows how good of a lumberjacker you are.,それは伐採能力を強化する。,It enhances your lumberjacking skill.,,,,,,,,,,
226,riding,乗馬,Riding,,,WIL,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,general,,noPet,,50,0,10,5,0,,,1,,,"1,ActRide",,,,上手に乗りこなす。,Allows you to ride creatures.,それは乗馬の腕をあげる。,It enhances your ability to ride.,,,,,,,,,,
227,parasite,共生,Symbiosis,,,CHA,,,20,100,100,all,1,1,200,20,0,1,0,,,Skill,SKILL,skill,general,,noPet,,50,0,10,5,0,,,1,,,"1,ActParasite",,,,上手に寄生される。,Allows your ally to parasitize on you.,それは宿主の素質をあげる。,It enhances your ability to host.,,,,,,,,,,
230,digging,穴掘り,Digging,,,STR,,,20,100,50,all,1,1,20,20,0,1,0,,,Skill,SKILL,skill,labor,,noPet,,50,0,10,5,0,,,1,,,,,,,床や穴を掘る効率を上げる。,Shows how good of a digger you are.,それは穴掘り能力を強化する。,It enhances your digging skill.,,,,,,,,,,
